portOfLading;portOfLadingRegion
Ningpo, China;Eastern Asia
Balboa, Panama;Central America
Taipei, Taiwan;Eastern Asia
Freeport, Grand Bahama I, Bahamas;Caribbean
Chiwan, China;Eastern Asia
Shanghai, China;Eastern Asia
Tsingtao, China;Eastern Asia
Cartagena, Colombia;South America
San Antonio, Chile;South America
Yantian, China;Eastern Asia
La Spezia, Italy;Western Europe
Tanjung Pelepas, Malaysia;South-Eastern Asia
Busan, South Korea;Eastern Asia
Panama Canal Caribbean, Panama;Central America
Singapore, Singapore;South-Eastern Asia
Ningbo, China;Eastern Asia
Hong Kong, Hong Kong;Eastern Asia
Civitavecchia, Italy;Western Europe
Tianjin, China;Eastern Asia
Salerno, Italy;Southern Europe
Vung Tau, Vietnam;South-Eastern Asia
Inchon, South Korea;Eastern Asia
Melbourne, Australia;Australasia
Livorno, Italy;Western Europe
Dagu/Tanggu, China;Eastern Asia
Xiamen, China;Eastern Asia
Fuzhou, China;Eastern Asia
Laem Chabang, Thailand;South-Eastern Asia
Kaohsiung, Taiwan;Eastern Asia
Chennai, India;Southern Asia
Manzanillo, Panama;Central America
Mundra, India;Southern Asia
Victoria, Brazil;South America
Masan, South Korea;Eastern Asia
Livorno, Italy;Southern Europe
Kobe, Japan;Eastern Asia
Genoa, Italy;Southern Europe
Cagliari, Italy;Southern Europe
Genoa, Italy;Western Europe
La Spezia, Italy;Southern Europe
Colombo, Sri Lanka;Southern Asia
Valencia, Spain;Southern Europe
Nagoya, Japan;Eastern Asia
Tokyo, Japan;Eastern Asia
Napier, New Zealand;Australasia
Durban, South Africa;Southern Africa
Civitavecchia, Italy;Southern Europe
Lianyungang, China;Eastern Asia
Soerabaja, Indonesia;South-Eastern Asia
Rotterdam, Netherlands;Western Europe
Vancouver, BC, Canada;North America
All Other Brazil Ports South Of Recife, Brazil;South America
Porto De Sines, Portugal;Southern Europe
Antwerp, Belgium;Western Europe
Auckland, New Zealand;Australasia
Itajai, Brazil;South America
Kajang, Malaysia;South-Eastern Asia
Porto De Sines, Portugal;Western Europe
Mina Raysut, Oman;Western Asia
Algeciras, Spain;Southern Europe
All Other Singapore Ports, Singapore;South-Eastern Asia
Valencia, Spain;Western Europe
Cape Town, South Africa;Southern Africa
New Tuticorin, India;Southern Asia
Jebel Ali, United Arab Emirates;Western Asia
Haifa, Israel;Western Asia
Algeciras, Spain;Western Europe
Bremerhaven, Germany;Western Europe
Kuantan, Malaysia;South-Eastern Asia
Ho Chi Minh City, Vietnam;South-Eastern Asia
Jiangyin, China;Eastern Asia
Sao Paulo, Brazil;South America
Le Havre, France;Western Europe
Port Itapoa, Brazil;South America
Al Aqabah, Jordan;Western Asia
Fuqing, China;Eastern Asia
Fos, France;Western Europe
Nansha, China;Eastern Asia
Piraeus, Greece;Western Europe
All Other China (Taiwan) Ports, Taiwan;Eastern Asia
All Other Peoples Republic of China Ports, China;Eastern Asia
Huangpu, China;Eastern Asia
Cristobal, Panama;Central America
Bur Said, Egypt;Northern Africa
All Other South Korea Ports, South Korea;Eastern Asia
Yokohama, Japan;Eastern Asia
Kanda, Japan;Eastern Asia
Kingston, Jamaica;Caribbean
Hitachi, Japan;Eastern Asia
Callao, Peru;South America
Adelaide, Australia;Australasia
Felixstowe, United Kingdom;Northern Europe
Liverpool, United Kingdom;Western Europe
Goa, India;Southern Asia
Mumbai, India;Southern Asia
Hamburg, Germany;Western Europe
Southhampton, United Kingdom;Western Europe
Southhampton, United Kingdom;Northern Europe
Saint John, Nb, Canada;North America
Point Lisas, Trinidad and Tobago;Caribbean
Puerto Cortes, Honduras;Central America
Manzanillo, Mexico;North America
Bahia De Moin, Costa Rica;Central America
Veracruz, Mexico;Central America
Limon, Costa Rica;Central America
Halifax, Ns, Canada;North America
Manzanillo, Mexico;Central America
Port Au Prince, Haiti;Caribbean
Santo Domingo, Dominican Republic;Caribbean
Puerto Plata, Dominican Republic;Caribbean
Puerto Matias De Galves, Guatemala;Central America
Puerto Barrios, Guatemala;Central America
Madryn, Argentina;South America
Sao Francisco Do Sul, Brazil;South America
Belize, Belize;Central America
All Other Virgin Islands Ports, Virgin Islands (U.S.);Caribbean
Nassau, New Providence I, Bahamas;Caribbean
Coco Cay, Bahamas;Caribbean
Texada, Bc, Canada;North America
Eleuthera Island, Bahamas;Caribbean
Spanish Wells, Bahamas;Caribbean
Bruce Mines, Ont, Canada;North America
Castaway Cay, Bahamas;Caribbean
Bajo Grande, Venezuela;South America
Montevideo, Uruguay;South America
Jawaharlal Nehru, India;Southern Asia
Palembang, Indonesia;South-Eastern Asia
Leixoes, Portugal;Southern Europe
Port Muhammad Bin Qasim, Pakistan;Southern Asia
Pohang, South Korea;Eastern Asia
Nantong, China;Eastern Asia
Haina, Dominican Republic;Caribbean
Songkhla, Thailand;South-Eastern Asia
All Other Viet Nam Ports, Vietnam;South-Eastern Asia
Lido, Italy;Southern Europe
Rio Grande, Brazil;South America
Johore, Malaysia;South-Eastern Asia
Penang, Malaysia;South-Eastern Asia
Karachi, Pakistan;Southern Asia
Buenos Aires, Argentina;South America
Chefoo, China;Eastern Asia
Manila, Philippines;South-Eastern Asia
Chittagong, Bangladesh;Southern Asia
Semarang, Indonesia;South-Eastern Asia
Nanjing, China;Eastern Asia
Adana, Turkey;Western Asia
All Other Chile Ports, Chile;South America
Navegantes, Brazil;South America
Onsan, South Korea;Eastern Asia
Damietta, Egypt;Northern Africa
Barcelona, Spain;Southern Europe
Barcelona, Spain;Western Europe
Naples, Italy;Southern Europe
Muroran, Japan;Eastern Asia
Kamaishi, Japan;Eastern Asia
Oita, Japan;Eastern Asia
Kimitsu, Japan;Eastern Asia
Keelung, Taiwan;Eastern Asia
Istanbul, Turkey;Western Asia
Pecem, Brazil;South America
Cagliari, Italy;Western Europe
Gioia Tauro, Italy;Southern Europe
Bilbao, Spain;Southern Europe
Naples, Italy;Western Europe
Aliaga, Turkey;Western Asia
Salvador, Brazil;South America
Antofagasta, Chile;South America
Port Of Spain, Trinidad and Tobago;Caribbean
Eemshaven, Netherlands;Western Europe
Caucedo, Dominican Republic;Caribbean
Zeebrugge, Belgium;Western Europe
Altamira, Mexico;Central America
All Other Panama West Coast Region Ports, Panama;Central America
Daesan, South Korea;Eastern Asia
Rauma, Finland;Northern Europe
Hai Phong, Vietnam;South-Eastern Asia
Guayaquil, Ecuador;South America
Barranquilla, Colombia;South America
Emden, Germany;Western Europe
Lazaro Cardenas, Mexico;Central America
Bridgetown, Barbados;Caribbean
San Vicente, Chile;South America
Caldera, Costa Rica;Central America
Parham Harbour, Antigua, Antigua And Barbuda;Caribbean
Oxelosund, Sweden;Northern Europe
All Other Mexico East Coast Region Ports, Mexico;Central America
Lazaro Cardenas, Mexico;North America
Altamira, Mexico;North America
Puerto Quetzal, Guatemala;Central America
Marina Di Carrara, Italy;Southern Europe
Saint Georges, Bermuda;North America
Ensenada, Mexico;Central America
All Other Bermuda Ports, Bermuda;North America
Cozumel Island, Mexico;Central America
Georgetown, Cayman Islands;Caribbean
Alexandria, Egypt;Northern Africa
Beirut, Lebanon;Western Asia
Taichung, Taiwan;Eastern Asia
Bangkok, Thailand;South-Eastern Asia
Taoranga, New Zealand;Australasia
Charlotte Amalie, St. Th, Virgin Islands (U.S.);Caribbean
Kowloon, Hong Kong;Eastern Asia
Djakarta, Indonesia;South-Eastern Asia
Sydney, Australia;Australasia
Dairen, China;Eastern Asia
Abidjan, Cote d'Ivoire;Western Africa
Rio De Janeiro, Brazil;South America
Da Nang, Vietnam;South-Eastern Asia
Valletta, Malta;Southern Europe
Felixstowe, United Kingdom;Western Europe
Osaka, Japan;Eastern Asia
Higashi Harima, Japan;Eastern Asia
Yawata, Japan;Eastern Asia
Okinawa Island, Japan;Eastern Asia
Gioia Tauro, Italy;Western Europe
Richard's Bay, South Africa;Southern Africa
Da Chan Bay, China;Eastern Asia
Guam Island, Guam;Micronesia
Hakata, Japan;Eastern Asia
All Other Dominican Republic Ports, Dominican Republic;Caribbean
Kwangyang, South Korea;Eastern Asia
All Other St. Croix Virgin Islands, Virgin Islands (U.S.);Caribbean
Piraeus, Greece;Southern Europe
Admiralty Bay, Saint Vincent and the Grenadines;Caribbean
Tarragona, Spain;Western Europe
Paita, Peru;South America
Tarragona, Spain;Southern Europe
Kawasaki, Japan;Eastern Asia
Puerto Drummond, Colombia;South America
Prince Rupert, Bc, Canada;North America
Puerto Castilla, Honduras;Central America
Veracruz, Mexico;North America
San Pedro, Cote d'Ivoire;Western Africa
All Other Ukraine Ports, Ukraine;Eastern Europe
Malaga, Spain;Western Europe
Milford Haven, United Kingdom;Northern Europe
Quebec, Que, Canada;North America
Meldrum Bay, Canada;North America
Terneuzen, Netherlands;Western Europe
Bowmanville, Ont, Canada;North America
Progreso, Mexico;Central America
Grand Turks, Turks and Caicos Islands;Caribbean
Khor Fakkan, United Arab Emirates;Western Asia
Shekou, China;Eastern Asia
Pipavav, India;Southern Asia
Cochin, India;Southern Asia
Port Chalmers, New Zealand;Australasia
Las Salinas, Chile;South America
All Other India West Coast Ports, India;Southern Asia
Kota Kinabalu, Malaysia;South-Eastern Asia
Tarakan, Indonesia;South-Eastern Asia
Cebu, Philippines;South-Eastern Asia
Arica, Chile;South America
Bremen, Germany;Western Europe
Barcarena, Brazil;South America
Klaipeda, Lithuania;Northern Europe
Porto Corsini, Italy;Southern Europe
Davao, Philippines;South-Eastern Asia
Liverpool, United Kingdom;Northern Europe
Apia, Samoa (Independent);Polynesia
Papeete, Tahiti, French Polynesia;Polynesia
Sepetiba Bay, Brazil;South America
Pago Pago Harbor, American Samoa;Polynesia
Bhavnagar, India;Southern Asia
Lagos, Nigeria;Western Africa
Dublin, Ireland;Northern Europe
Turbo, Colombia;South America
Santa Clara, Brazil;South America
All Other Guatemala West Coast Region Ports, Guatemala;Central America
Puerto Bolivar, Ecuador;South America
San Lucas, Mexico;Central America
Point Fortin, Trinidad and Tobago;Caribbean
Point Tupper, Cbi, Canada;North America
All Other Malaysia Ports, Malaysia;South-Eastern Asia
Guantanamo Bay, Cuba;Caribbean
Coatzacoalcos, Mexico;Central America
All Other Bermuda Ports, Bermuda;Caribbean
Galisbay, Netherlands Antilles;Caribbean
All Other Malta Ports, Malta;Southern Europe
Kinuura, Japan;Eastern Asia
Paramaribo, Suriname;South America
Gemlik, Turkey;Western Asia
Izmir, Turkey;Western Asia
Chen Huang Tao, China;Eastern Asia
Santander, Spain;Southern Europe
Fremantle, Australia;Australasia
Shimizu, Japan;Eastern Asia
Vieux Fort, Saint Lucia;Caribbean
Caleta Patillos, Chile;South America
Acajutla, El Salvador;Central America
Novorossiysk, Russia;Eastern Europe
All Other Turkey Black Sea and Sea of Marmara Port, Turkey;Western Asia
All Other Cayman Island Ports, Cayman Islands;Caribbean
Goderich, Ont, Canada;North America
Philipsborough, Netherlands Antilles;Caribbean
Clyde, United Kingdom;Northern Europe
Brisbane, Australia;Australasia
Pyongtaek, South Korea;Eastern Asia
All Other Colombian Caribbean Region Ports, Colombia;South America
All Other Egypt Mediterranean Region Ports, Egypt;Northern Africa
All Other France Mediterranean Region Ports, France;Western Europe
Rouseau, Dominica;Caribbean
Jose, Venezuela;South America
Christiansted, St. Croix, Virgin Islands (U.S.);Caribbean
Jeddeh, Saudi Arabia;Western Asia
Aarhus, Denmark;Northern Europe
All Other Sumatra Ports, Indonesia;South-Eastern Asia
Fang Cheng, China;Eastern Asia
Geraldton, Australia;Australasia
Georgetown, Guyana;South America
St. George, Grenada;Caribbean
Bimini Island, Bahamas;Caribbean
Amuay Bay, Venezuela;South America
Great Stirrup Cay, Bahamas;Caribbean
Belawan, Indonesia;South-Eastern Asia
Panama Canal  Pacific, Panama;Central America
Haikou, China;Eastern Asia
Suape, Brazil;South America
Belfast, United Kingdom;Northern Europe
All Other Turkey Mediterranean Region Ports, Turkey;Western Asia
All Other Estonia Ports, Estonia;Northern Europe
Road Harbour, Tortola, Virgin Islands (British);Caribbean
Bath, Ont, Canada;North America
Cayo Arcas, Mexico;Central America
Exuma, Bahamas;Caribbean
El Palito, Venezuela;South America
Zhongshan, China;Eastern Asia
Adabiya, Egypt;Northern Africa
Amsterdam, Netherlands;Western Europe
Nelson, New Zealand;Australasia
Corinto, Nicaragua;Central America
All Other Japan Ports, Japan;Eastern Asia
Huelva, Spain;Southern Europe
All Other Canada Pacific Region Ports, Canada;North America
Pajaritos, Mexico;Central America
Great Inagua, Bahamas;Caribbean
Half Moon Cay, Bahamas;Caribbean
Progreso, Mexico;North America
All Other Portugal Ports, Portugal;Southern Europe
All Other Sicily Ports, Italy;Western Europe
Leixoes, Portugal;Western Europe
Punta Arenas, Chile;South America
Goteborg, Sweden;Northern Europe
Hamilton, Bermuda;North America
Nanaimo, Bc, Canada;North America
Mina Saud, Kuwait;Western Asia
Esmeraldas, Ecuador;South America
Port Elizabeth, South Africa;Southern Africa
